Codigo do Produto	Nome do Produto	Embalagem do produto	Categoria do Produto	Status do Produto
63085	CEIA NATAL FGO RECH ARROZ BRANCO BOLO TRUFADO	Un	1	Inativo
63089	CEIA NATAL FGO RECH ARROZ C/AMENDOA BOLO TRUFADO	Un	1	Inativo
63090	CEIA NATAL FGO RECH ARROZ C/AMENDOA PUDIM	Un	1	Inativo
63793	MENU PASCOA PAELLA FRUTOS DO MAR BOLO TRUFADO	Un	1	Inativo
64016	MENU MAES PICANHA MOLHO ERVAS ARR AMEND BOL TRUF	Un	1	Ativo
64017	MENU MAES LASANHA BOLONHESA ARROZ AMEND PUDIM	Un	1	Ativo
64033	MENU MAES FRANGO RECHEADO ARROZ AMEND BOL TRUF	Un	1	Ativo
64040	MENU PAIS SALMAO AO ALHO PORO ARROZ BACALHAU	Un	1	Inativo
64041	MENU PAIS BACALHAU GOMES DE SA ARROZ CAMARAO	Un	1	Inativo
64042	MENU MAES FILE MIGNON MOL MAD ARR AMENDOAS	Un	1	Inativo
72087	CEIA NATAL SALMAO ARROZ CAMARAO BOLO TRUFADO	Un	1	Inativo
72088	CEIA NATAL SALMAO ARROZ CAMARAO TORTA HOLANDESA	Un	1	Inativo
72089	CEIA NATAL SALMAO ARROZ CAMARAO PUDIM	Un	1	Inativo
72090	CEIA NATAL SALMAO ARROZ C/BACALH BOLO TRUFADO	Un	1	Inativo
72091	CEIA NATAL SALMAO ARROZ C/BACALH TORTA HOLANDESA	Un	1	Inativo
72092	CEIA NATAL SALMAO ARROZ C/BACALH PUDIM	Un	1	Inativo
72093	CEIA NATAL LASANHA B ARROZ A GREGA BOLO TRUFADO	Un	1	Inativo
72094	CEIA NATAL LASANHA B ARROZ A GREGA TORTA HOLANDESA	Un	1	Inativo
72095	CEIA NATAL LASANHA B ARROZ A GREGA PUDIM	Un	1	Inativo
72096	CEIA NATAL LASANHA B ARROZ C/AMEND BOLO TRUFADO	Un	1	Inativo
72097	CEIA NATAL LASANHA B ARROZ C/AMEND TORTA HOLANDESA	Un	1	Inativo
72098	CEIA NATAL LASANHA B ARROZ C/AMEND PUDIM	Un	1	Inativo
72749	MENU MAES BACALHAU GOMES SA ARROZ BAC PUDIM	Un	1	Ativo
72750	MENU MAES BACALHAU GOMES SA ARROZ BAC TORT HOLAND	Un	1	Ativo
72751	MENU MAES BACALHAU GOMES SA ARROZ BRANC PUDIM	Un	1	Ativo
72752	MENU MAES BACALHAU GOMES SA ARROZ BRANC TORT HOL	Un	1	Ativo
72753	MENU MAES BACALHAU GOMES SA ARROZ CAMAR PUDIM	Un	1	Ativo
72754	MENU MAES BACALHAU GOMES SA ARROZ CAMAR TORT HOL	Un	1	Ativo
