codigo,Produto,Categoria,Embalagem,Status
72749,MENU MAES BACALHAU GOMES SA ARROZ BAC PUDIM,Menu,Un,Ativo
72750,MENU MAES BACALHAU GOMES SA ARROZ BAC TORT HOLAND,Menu,Un,Ativo
61838,MENU MAES BACALHAU GOMES SA ARROZ BRANC BOLO TRUF,Menu,Un,Ativo
72751,MENU MAES BACALHAU GOMES SA ARROZ BRANC PUDIM,Menu,Un,Ativo
72752,MENU MAES BACALHAU GOMES SA ARROZ BRANC TORT HOL,Menu,Un,Ativo
61840,MENU MAES BACALHAU GOMES SA ARROZ CAMAR BOLO TRUF,Menu,Un,Ativo
72753,MENU MAES BACALHAU GOMES SA ARROZ CAMAR PUDIM,Menu,Un,Ativo
72754,MENU MAES BACALHAU GOMES SA ARROZ CAMAR TORT HOL,Menu,Un,Ativo
72771,MENU MAES FILE MIGNON MOL MAD ARR AMEND BOLO TRUF,Menu,Un,Ativo
72772,MENU MAES FILE MIGNON MOL MAD ARR AMEND PUDIM,Menu,Un,Ativo
72773,MENU MAES FILE MIGNON MOL MAD ARR AMEND TORT HOL,Menu,Un,Ativo
64042,MENU MAES FILE MIGNON MOL MAD ARR AMENDOAS,Menu,Un,Inativo
59433,MENU MAES FILE MIGNON MOL MAD ARR BRANC BOLO TRUF,Menu,Un,Ativo
72769,MENU MAES FILE MIGNON MOL MAD ARR BRANC PUDIM,Menu,Un,Inativo
72770,MENU MAES FILE MIGNON MOL MAD ARR BRANC TORT HOL,Menu,Un,Ativo
59437,MENU MAES FILE MIGNON MOL MAD ARR GREGA,Menu,Un,Inativo
72774,MENU MAES FILE MIGNON MOL MAD ARR GREGA BOLO TRUF,Menu,Un,Ativo
72775,MENU MAES FILE MIGNON MOL MAD ARR GREGA PUDIM,Menu,Un,Ativo
72776,MENU MAES FILE MIGNON MOL MAD ARR GREGA TORT HOL,Menu,Un,Ativo
64033,MENU MAES FRANGO RECHEADO ARROZ AMEND BOL TRUF,Menu,Un,Ativo
73050,MENU MAES FRANGO RECHEADO ARROZ AMEND PUDIM,Menu,Un,Ativo
73051,MENU MAES FRANGO RECHEADO ARROZ AMEND TORT HOL,Menu,Un,Ativo
59432,MENU MAES FRANGO RECHEADO ARROZ BRANCO,Menu,Un,Inativo
59436,MENU MAES FRANGO RECHEADO ARROZ GREGA BOL TRUF,Menu,Un,Ativo
73048,MENU MAES FRANGO RECHEADO ARROZ GREGA PUDIM,Menu,Un,Ativo
73049,MENU MAES FRANGO RECHEADO ARROZ GREGA TORT HOL,Menu,Un,Ativo
72783,MENU MAES LASANHA BOLONHESA ARROZ,Menu,Un,Inativo
72782,MENU MAES LASANHA BOLONHESA ARROZ AMEND BOLO TRUF,Menu,Un,Ativo
64017,MENU MAES LASANHA BOLONHESA ARROZ AMEND PUDIM,Menu,Un,Ativo
72784,MENU MAES LASANHA BOLONHESA ARROZ AMEND TORT HOL,Menu,Un,Ativo
59435,MENU MAES LASANHA BOLONHESA ARROZ ARROZ GREGA,Menu,Un,Inativo
53961,MENU MAES LASANHA BOLONHESA ARROZ BRANC BOLO TRUF,Menu,Un,Ativo
72777,MENU MAES LASANHA BOLONHESA ARROZ BRANC PUDIM,Menu,Un,Ativo
72778,MENU MAES LASANHA BOLONHESA ARROZ BRANC TORT HOL,Menu,Un,Ativo
72779,MENU MAES LASANHA BOLONHESA ARROZ GREGA BOLO TRUF,Menu,Un,Ativo
72781,MENU MAES LASANHA BOLONHESA ARROZ GREGA PUDIM,Menu,Un,Ativo
72780,MENU MAES LASANHA BOLONHESA ARROZ GREGA TORT HOL,Menu,Un,Ativo
59434,MENU MAES PICANHA AO MOLHO ERVAS ARROZ BRANCO,Menu,Un,Inativo
64016,MENU MAES PICANHA MOLHO ERVAS ARR AMEND BOL TRUF,Menu,Un,Ativo
73047,MENU MAES PICANHA MOLHO ERVAS ARR AMEND PUDIM,Menu,Un,Ativo
73046,MENU MAES PICANHA MOLHO ERVAS ARR AMEND TORT HOL,Menu,Un,Ativo
59438,MENU MAES PICANHA MOLHO ERVAS ARR GREGA BOL TRUF,Menu,Un,Ativo
73040,MENU MAES PICANHA MOLHO ERVAS ARR GREGA PUDIM,Menu,Un,Ativo
73042,MENU MAES PICANHA MOLHO ERVAS ARR GREGA TORT HOL,Menu,Un,Ativo
61848,MENU MAES SALMAO ALHO PORO ARROZ BAC BOLO TRUF,Menu,Un,Ativo
72759,MENU MAES SALMAO ALHO PORO ARROZ BAC PUDIM,Menu,Un,Ativo
72760,MENU MAES SALMAO ALHO PORO ARROZ BAC TORT HOL,Menu,Un,Ativo
61847,MENU MAES SALMAO ALHO PORO ARROZ BRANC BOLO TRUF,Menu,Un,Ativo
72755,MENU MAES SALMAO ALHO PORO ARROZ BRANC PUDIM,Menu,Un,Ativo
72757,MENU MAES SALMAO ALHO PORO ARROZ BRANC TORT HOL,Menu,Un,Ativo
61845,MENU MAES SALMAO ALHO PORO ARROZ CAMAR BOLO TRUF,Menu,Un,Ativo
72756,MENU MAES SALMAO ALHO PORO ARROZ CAMAR PUDIM,Menu,Un,Ativo
72758,MENU MAES SALMAO ALHO PORO ARROZ CAMAR TORT HOL,Menu,Un,Ativo
53960,MENU MAES SALMAO AO ALHO PORO ARROZ BRANCO,Menu,Un,Inativo
53957,MENU PAIS BACALHAU GOMES DE SA ARROZ BACALHAU,Menu,Un,Inativo
53958,MENU PAIS BACALHAU GOMES DE SA ARROZ BRANCO,Menu,Un,Inativo
64041,MENU PAIS BACALHAU GOMES DE SA ARROZ CAMARAO,Menu,Un,Inativo
64040,MENU PAIS SALMAO AO ALHO PORO ARROZ BACALHAU,Menu,Un,Inativo
53959,MENU PAIS SALMAO AO ALHO PORO ARROZ CAMARAO,Menu,Un,Inativo
61842,MENU PASCOA FILE DE TILAPIA ARROZ BACALHAU,Menu,Un,Inativo
61841,MENU PASCOA FILE DE TILAPIA ARROZ BRANCO,Menu,Un,Inativo
61843,MENU PASCOA FILE DE TILAPIA ARROZ CAMARAO,Menu,Un,Inativo
61836,MENU PASCOA MOQUECA CACAO C/CAM ARROZ BACALHAU,Menu,Un,Inativo
61835,MENU PASCOA MOQUECA CACAO C/CAM ARROZ BRANCO,Menu,Un,Inativo
61837,MENU PASCOA MOQUECA CACAO C/CAM ARROZ CAMARAO,Menu,Un,Inativo
61850,MENU PASCOA MORANG BOBO CAMAR ARROZ BAC BOLO TRUF,Menu,Un,Inativo
72763,MENU PASCOA MORANG BOBO CAMAR ARROZ BAC PUDIM,Menu,Un,Inativo
72764,MENU PASCOA MORANG BOBO CAMAR ARROZ BAC TORT HOL,Menu,Un,Inativo
61849,MENU PASCOA MORANG BOBO CAMAR ARROZ BRANC BOLO TRU,Menu,Un,Inativo
72765,MENU PASCOA MORANG BOBO CAMAR ARROZ BRANC PUDIM,Menu,Un,Inativo
72766,MENU PASCOA MORANG BOBO CAMAR ARROZ BRANC TORT HOL,Menu,Un,Inativo
61851,MENU PASCOA MORANG BOBO CAMAR ARROZ CAM BOLO TRUF,Menu,Un,Inativo
72761,MENU PASCOA MORANG BOBO CAMAR ARROZ CAM PUDIM,Menu,Un,Inativo
72762,MENU PASCOA MORANG BOBO CAMAR ARROZ CAM TORT HOLAN,Menu,Un,Inativo
63793,MENU PASCOA PAELLA FRUTOS DO MAR BOLO TRUFADO,Menu,Un,Inativo
72767,MENU PASCOA PAELLA FRUTOS DO MAR PUDIM,Menu,Un,Inativo
72768,MENU PASCOA PAELLA FRUTOS DO MAR TORTA HOLANDESA,Menu,Un,Inativo
63167,Mignon Ao Molho Peg Pese Resf Kg,Carnes e Peixes,Kg,Ativo
59701,MINI BOLINHO DE BACALHAU KG,Salgados,Kg,Inativo
59699,MINI COXINHA FRITA KG,Salgados,Kg,Inativo
59703,MINI KIBE PEG PESE KG,Salgados,Kg,Inativo
61846,MINI TORTA DE BACALHAU C/6,Menu,Un,Inativo
44683,Mini Torta De Palmito C/6,Acompanhamentos,Un,Inativo
46385,MOLHO DE ABACAXI 250ML,Molhos,Un,Inativo
46387,MOLHO DE ERVAS FINAS 250ML,Molhos,Un,Inativo
46386,Molho De Laranja 250ml,Molhos,Un,Inativo
46384,MOLHO MADEIRA 250ML PEG PESE,Molhos,Un,Inativo
63693,MOQUECA DE CACAO C/CAMARAO RESF KG,Carnes e Peixes,Kg,Inativo
14022023,Não Possui Sobre.,Menu,Un,Inativo
63219,NHOQUE AO SUGO PEG PESE RESF 1KG,Massas,Un,Inativo
63696,PAELLA PEG PESE KG,Carnes e Peixes,Kg,Inativo
63697,PAELLA PEG PESE RESF KG,Carnes e Peixes,Kg,Inativo
72216,"PALETA CORDEIRO C/MOL HORTELA 1,2KG",Carnes e Peixes,Un,Inativo
63181,PALETA CORDEIRO C/MOL HORTELA RESF KG,Assados,Kg,Inativo
61431,Pao De Hamburguer 225g,Acompanhamentos,Un,Inativo
5000,PAO FRANCES KG,Acompanhamentos,Un,Ativo
54037,Pave Peg Pese 1kg,Sobremesas,Un,Ativo
46379,PERNIL ASSADO UN - ACOMPANHA DECORACAO,Assados,Un,Inativo
46380,PERU ASSADO UN - ACOMPANHA DECORACAO,Assados,Un,Inativo
63170,PICANHA ASSADA C/MOLHO ERVAS RESF KG,Carnes e Peixes,Kg,Ativo
63093,POKE SALMAO 350G,Orientais,Un,Ativo
58021,PUDIM 1KG,Sobremesas,Un,Ativo
62870,QUICHE ALHO PORO RESF 400G,Tortas e Quiches,Un,Ativo
62872,QUICHE CAPRESE RESF 400G,Tortas e Quiches,Un,Ativo
62871,Quiche Lorraine Resf 400g,Tortas e Quiches,Un,Inativo
63685,RISOTO CAMARAO PEG PESE RESF KG,Acompanhamentos,Kg,Inativo
63221,Rondeli Presunto/qjo Peg Pese Resf Kg,Massas,Kg,Inativo
40213,SALADA DE BATATAS PEG PESE KG,Acompanhamentos,Kg,Inativo
41024,SALADA DE BERINJELA C/NOZES KG,Acompanhamentos,Kg,Inativo
41947,SALADA DE MAIONESE PEG PESE KG,Acompanhamentos,Kg,Ativo
55299,SALADA GRAO DE BICO C/BACALHAU KG,Acompanhamentos,Kg,Inativo
63683,SALADA MISTA PEG PESE KG,Acompanhamentos,Kg,Inativo
40045,Salpicao De Frango Peg Pese Kg,Acompanhamentos,Kg,Ativo
69174,TABUA DE FRIOS PREMIUM 01,Tabua de frios,Un,Ativo
69294,TABUA DE FRIOS PREMIUM 02,Tabua de frios,Un,Ativo
69069,TABUA DE FRIOS PREMIUM 03,Tabua de frios,Un,Ativo
69295,TABUA DE FRIOS PREMIUM 04,Tabua de frios,Un,Ativo
69175,TABUA DE FRIOS PREMIUM 05,Tabua de frios,Un,Ativo
69575,TABUA DE FRIOS PREMIUM 06,Tabua de frios,Un,Ativo
46383,TENDER ASSADO AO MOLHO DE ABACAXI UN,Assados,Kg,Inativo
62887,TORTA BACALHAU RESF 400G,Tortas e Quiches,Un,Inativo
65848,TORTA BANOFFE 1KG,Sobremesas,Un,Ativo
62898,TORTA CAMARAO 400G,Menu,Un,Inativo
62888,TORTA CAMARAO RESF 400G,Tortas e Quiches,Un,Inativo
58018,TORTA DE FRUTAS GRANDE 1KG,Sobremesas,Un,Inativo
58015,Torta De Frutas Secas Grande 1kg,Tortas Doces,Un,Inativo
58009,TORTA DE LIMAO GRANDE 1KG,Sobremesas,Un,Ativo
58014,Torta De Nozes Grande 1kg,Tortas Doces,Un,Inativo
62889,TORTA FRANGO RESF 450G,Tortas e Quiches,Un,Ativo
58051,TORTA HOLANDESA GRANDE 1KG,Sobremesas,Un,Ativo
62886,Torta Legumes Resf 450g,Tortas e Quiches,Un,Inativo
62890,Torta Palmito Resf 450g,Tortas e Quiches,Un,Ativo
